CodigoEmpresa;Anio;Mes;EmpleadosTotal;AltasDelMes;TotalBrutoTodos;TotalBrutoAltas
47674;2023;9;6;0;13893.57;0
47515;2023;9;5;1;7065.04;720.37
38600;2023;9;1;0;5508.23;0
47686;2023;9;14;2;33139.84;1531.5
42508;2023;9;1;0;8000;0
23095;2023;9;18;0;68585.64;0
46615;2023;9;5;0;7556.03;0
42736;2023;9;2;0;5899.26;0
44863;2023;9;2;0;1286.25;0
37902;2023;9;1;0;2702.97;0
39431;2023;9;3;0;1356.77;0
48645;2023;9;8;0;17048.4;0
47757;2023;9;7;0;14877.16;0
48182;2023;9;7;0;22036.51;0
46031;2023;9;6;1;34979.81;3750
35936;2023;9;1;0;6028.35;0
36909;2023;9;16;1;145793.94;4500
47532;2023;9;8;1;14374.66;1143.58
37807;2023;9;1;0;5034.33;0
48277;2023;9;9;0;18846.54;0
47671;2023;9;6;0;7223.99;0
46442;2023;9;1;0;7523.26;0
41962;2023;9;1;0;1416.67;0
38460;2023;9;2;0;22341.81;0
47588;2023;9;13;0;31914.5;0
1;2023;9;1;0;3932.32;0
25716;2023;9;1;0;2469.27;0
29066;2023;9;1;0;5400;0
42460;2023;9;3;0;10643.23;0
45744;2023;9;2;0;13446.98;0
48605;2023;9;11;0;16774.13;0
43149;2023;9;2;0;5008.08;0
48208;2023;9;1;0;9583.33;0
41679;2023;9;2;0;9545.89;0
47558;2023;9;1;0;1260;0
47000;2023;9;6;1;10831.44;427.73
37279;2023;9;3;0;7734.07;0
115;2023;9;5;0;52897.78;0
46022;2023;9;6;0;79529.04;0
49004;2023;9;9;1;15413.99;604.44
37462;2023;9;2;0;2741.06;0
49118;2023;9;3;3;38621.66;38621.66
37764;2023;9;1;0;10650;0
45096;2023;9;12;0;34766.67;0
46788;2023;9;4;0;426.12;0
28644;2023;9;5;1;17162.51;2619.05
44075;2023;9;1;0;5848.02;0
36102;2023;9;2;0;18584.67;0
25861;2023;9;3;0;6205.01;0
43367;2023;9;1;0;34993.07;0
43405;2023;9;2;1;5791.67;1625
48688;2023;9;5;0;11344.63;0
32179;2023;9;4;1;26332.22;2361.11
14438;2023;9;1;0;845.52;0
46783;2023;9;1;0;9671.84;0
46207;2023;9;9;1;46327.92;4915
40254;2023;9;1;0;2964;0
47315;2023;9;3;0;16996.93;0
48210;2023;9;10;0;20055.13;0
24429;2023;9;3;0;14399.75;0
48894;2023;9;3;0;9083.34;0
46294;2023;9;1;0;2354.14;0
42505;2023;9;2;1;4555.55;1555.55
3721;2023;9;4;0;39499.8;0
41339;2023;9;2;0;321.54;0
48483;2023;9;7;0;16670.95;0
47937;2023;9;7;0;17923.4;0
38210;2023;9;1;0;5700;0
39902;2023;9;13;0;100251.36;0
38706;2023;9;5;0;23324.01;0
47676;2023;9;4;0;8973.77;0
38787;2023;9;8;0;22547.65;0
47673;2023;9;6;0;10513.52;0
47498;2023;9;11;0;22264.51;0
42830;2023;9;1;0;5853.42;0
36472;2023;9;1;0;5336.05;0
34268;2023;9;2;0;6200;0
49300;2023;9;10;0;25511.08;0
37666;2023;9;2;0;25000.01;0
30999;2023;9;2;0;6593.04;0
40353;2023;9;1;1;6533.34;6533.34
43319;2023;9;1;0;2200;0
24230;2023;9;6;0;23653.12;0
44167;2023;9;3;0;11870.83;0
47773;2023;9;1;0;4568.43;0
30886;2023;9;3;0;10835.81;0
42880;2023;9;3;0;20416.67;0
48302;2023;9;1;0;7660;0
42022;2023;9;49;0;276745.53;0
35130;2023;9;1;0;3916.66;0
31584;2023;9;2;0;5071.43;0
42438;2023;9;2;0;1094.62;0
38114;2023;9;7;0;22121.96;0
47262;2023;9;1;0;10083.33;0
45104;2023;9;4;1;28249.99;4500
46773;2023;9;4;0;7227.08;0
43660;2023;9;8;0;79687.17;0
49285;2023;9;1;0;483470.3;0
35308;2023;9;1;0;6016.09;0
47877;2023;9;5;0;24335;0
55560;2023;9;2;0;3660.92;0
42851;2023;9;2;0;11092.75;0
21515;2023;9;1;0;3275;0
42222;2023;9;1;0;7398.74;0
48024;2023;9;10;0;19756.38;0
49501;2023;9;1;1;10350;10350
47535;2023;9;6;0;10045.85;0
47566;2023;9;14;1;28479.35;180.1
41941;2023;9;14;0;93235.88;0
44271;2023;9;8;0;42644.6;0
48687;2023;9;3;0;5122.46;0
33812;2023;9;1;0;5544.48;0
27415;2023;9;1;0;2269.02;0
47514;2023;9;10;1;20388.68;1378.68
33672;2023;9;2;0;12943.55;0
38335;2023;9;1;0;3333.33;0
99999;2023;9;1;0;0;0
45591;2023;9;1;0;3800;0
36051;2023;9;1;0;10256.67;0
47825;2023;9;1;0;8383.33;0
47533;2023;9;1;0;4833.32;0
43404;2023;9;1;0;6670.24;0
49005;2023;9;6;0;12190.07;0
48686;2023;9;2;0;4622.99;0
47742;2023;9;7;0;67751.66;0
33240;2023;9;6;0;39585.28;0
37364;2023;9;1;0;6233.23;0
47677;2023;9;5;0;7498.26;0
27679;2023;9;1;0;2333.32;0
44721;2023;9;2;0;11433.33;0
44168;2023;9;7;0;24460.71;0
39144;2023;9;2;0;3170.83;0
47442;2023;9;1;0;1967.72;0
36217;2023;9;1;0;1766.29;0
47074;2023;9;1;0;5834.45;0
47675;2023;9;5;0;9042.09;0
40531;2023;9;1;0;3919.72;0
47297;2023;9;2;0;4100;0
37157;2023;9;2;0;16313.3;0
46616;2023;9;7;0;15933.25;0
6716;2023;9;1;0;1724.14;0
46611;2023;9;4;0;14915;0
41701;2023;9;2;0;4999.99;0
41200;2023;9;5;0;8625.73;0
37475;2023;9;1;0;2794.61;0
38406;2023;9;1;0;3035.72;0
47701;2023;9;1;0;4000;0
23868;2023;9;2;0;4366.67;0
42335;2023;9;2;0;9994.72;0
46661;2023;9;2;0;13939.48;0
39341;2023;9;3;0;20998.64;0
45493;2023;9;2;0;16552.55;0
48183;2023;9;14;0;23228.21;0
32424;2023;9;6;0;16717.2;0
48950;2023;9;10;1;18766.1;0
47162;2023;9;2;0;27600;0
48100;2023;9;1;0;6666.67;0
47530;2023;9;4;1;6556.78;820.52
38114;2023;9;1;1;2791.69;0
48605;2023;9;1;0;562.79;0
48950;2023;9;1;1;46.74;46.74
38787;2023;9;1;0;2172.83;0
48483;2023;9;1;0;1363.34;0
40767;2023;9;1;0;1527.77;0
44168;2023;9;1;0;1711.12;0
40767;2023;9;1;0;1458.32;0
49004;2023;9;1;0;1127;0
48910;2023;9;10;0;8096.3;0
47566;2023;9;1;0;779.11;0
48950;2023;9;1;0;792.91;0
47673;2023;9;1;0;1205.69;0
48182;2023;9;1;0;469.04;0
43405;2023;9;1;0;4084.6;0
42022;2023;9;1;1;2041.67;0
47515;2023;9;1;0;630.33;0
47000;2023;9;1;0;495.25;0
48950;2023;9;1;0;590.77;0
47937;2023;9;2;0;256.64;0
35936;2023;9;1;0;943.12;0
47532;2023;9;1;1;1766.68;0
37902;2023;8;1;0;2702.97;0
40531;2023;8;1;0;3919.72;0
49004;2023;8;9;0;16238.38;0
47937;2023;8;7;0;14289.31;0
43149;2023;8;2;0;5008.08;0
46611;2023;8;4;0;14915;0
45744;2023;8;2;0;13240.17;0
47588;2023;8;13;0;31685.28;0
41962;2023;8;1;0;1416.67;0
36217;2023;8;1;0;1766.29;0
36102;2023;8;2;0;18584.67;0
46615;2023;8;5;0;7606.11;0
41679;2023;8;2;0;9545.89;0
39341;2023;8;3;0;16404.35;0
36909;2023;8;15;0;116579.27;0
47152;2023;8;2;0;2377.55;0
46207;2023;8;8;0;42839.8;0
41701;2023;8;2;0;4999.99;0
47757;2023;8;7;0;14911.97;0
38210;2023;8;1;0;5951.8;0
46022;2023;8;6;0;75909.05;0
45493;2023;8;2;0;16552.55;0
37279;2023;8;3;0;7134.07;0
46783;2023;8;1;0;8544.99;0
25716;2023;8;1;0;2469.27;0
48183;2023;8;14;0;21939.23;0
3721;2023;8;4;0;38291.17;0
40767;2023;8;1;0;2083.33;0
46442;2023;8;1;0;7523.26;0
48024;2023;8;10;0;19736.49;0
47498;2023;8;11;0;22279.65;0
